用户说话,车辆反馈,动作序列,,
天气好热,确实很热呢。为您关闭窗户和天窗遮阳帘，将空调设置为制冷模式，风速调整为2。 另外，氛围灯也换成蓝色的，给您营造一种凉爽的氛围感。,关闭全部车窗，关闭天窗，空调设置为制冷模式，空调风速调整为二档，设置氛围灯颜色为红色,,
热得难受,确实很热呢。为您关闭窗户和天窗遮阳帘，将空调设置为制冷模式，风速调整为2。 另外，氛围灯也换成蓝色的，给您营造一种凉爽的氛围感。,关闭全部车窗，关闭天窗，空调设置为制冷模式，空调风速调整为二档，设置氛围灯颜色为蓝色,,
来点风,将空调的风速设置为3并关上车窗，通过闪烁的氛围灯来为您营造通风的氛围感。,空调风速调整为三档，设置氛围灯闪烁模式,,
把风调大一些,为您调大风量。 目前风速为5。 另外窗户也关闭。,空调风速调整为五档，关闭全部车窗,,
播放音乐,好的。 现在播放音乐。 另外我将为您关车窗，以便您可以更好的享受音乐。,播放舒缓音乐，关闭全部车窗,,
来点轻松的音乐,好的。 为您关上车窗，将空调的风速设置为2，并播放轻松的音乐，营造舒适的氛围。,关闭全部车窗，设置空调风速2档，播放舒缓音乐,,
稍微打开点暖风,是有点冷吗？将空调切换到加热模式。风速设置为 2 并为您打开座椅加热器。通过红色的氛围灯来为您营造温暖的氛围感。,"打开空调制热模式,设置空调风速2档,设置主驾座椅加热模式1档,设置副驾座椅加热模式1档,设置氛围灯颜色为红色",,
有点冷,是有点冷吗？将空调切换到加热模式。风速设置为 2 并为您打开座椅加热器。通过红色的氛围灯来为您营造温暖的氛围感。,"打开空调制热模式,设置空调风速2档,设置主驾座椅加热模式1档,设置副驾座椅加热模式1档,设置氛围灯颜色为红色",,
窗稍微打开一点,好的。为您关掉空调并打开窗户。 呼吸外面的空气，会让心情会变好哦。,"关闭空调,打开全部车窗",,
打开座椅加热器,好的，确实有点冷呢，为您关闭车窗并打开座椅加热器。 通过添加红色环境光来营造温暖的氛围感。,关闭全部车窗，设置主驾座椅加热模式1档，设置副驾座椅加热模式1档，设置氛围灯颜色为红色,,
冷,是有点冷吗？将空调切换到加热模式。风速设置为 2 并为您打开座椅加热器。通过红色的氛围灯来为您营造温暖的氛围感。,"打开空调制热模式,设置空调风速2档,设置主驾座椅加热模式1档,设置副驾座椅加热模式1档,设置氛围灯颜色为红色",,
有点冷了,是有点冷吗？将空调切换到加热模式。风速设置为 2 并为您打开座椅加热器。通过红色的氛围灯来为您营造温暖的氛围感。,"打开空调制热模式,设置空调风速2档,设置主驾座椅加热模式1档,设置副驾座椅加热模式1档,设置氛围灯颜色为红色",,
让我放松一下,您辛苦了。 将车内照明设置为暖色，空调调整到适宜的温度。另外为您把副驾驶座的座椅放倒一点，听着钢琴曲好好休息一下吧。,设置氛围灯颜色为黄色，设置主驾空调温度为26度，副驾座椅往后调节，播放钢琴曲,,
累了,知道了，听起来您很疲惫。 将为您打开蓝色氛围灯，将空调调到合适的温度，副驾驶的座椅也为您稍稍放倒，听着钢琴曲休息一下吧。,"设置氛围灯颜色为蓝色,设置空调风速1档,设置主驾座椅靠背往前调节,播放钢琴曲",,
有点暗,好的。 打开氛围灯，调亮调光玻璃，为您营造一个明亮的环境。,"打开氛围灯,前排调光玻璃调亮,后排调光玻璃调亮",,
我有点在意下雨的声音,关上车窗，并播放音乐，为您营造一个舒适的环境。,关闭全部车窗，播放舒缓音乐,,
下雨了,好像下雨了。为您关闭车窗并将雨刮器置于自动模式。请小心安全驾驶。,关闭全部车窗，前雨刷间歇摆动,,
看不清前面,为您打开挡风玻璃雨刮器和挡风玻璃除霜器，并打开大灯。 请小心安全驾驶。,"前雨刷高速摆动,打开远光灯,打开除霜模式",,
我累了，给我按摩,您辛苦了。因为没有按摩功能，所以将为您调整座椅靠背。 此外，将车内的照明调成暖色，并将空调调到合适的温度，营造轻松的氛围。,"关闭主驾座椅按摩,设置副驾座椅加热模式1档,设置氛围灯颜色为黄色,设置空调风速3档,设置主驾座椅靠背往后调节",,
打开通风,为您稍微打开天窗并将空调设置为通风模式。,"打开天窗,设置空调风速1档,关闭空调制热模式,关闭空调风扇",,
副驾很冷,好的。 为您打开副驾驶的座椅加热器，并调高空调温度。,"设置副驾座椅加热模式1档,设置主驾空调温度高于当前温度",,
把车内亮度调暗,好的。将关闭氛围灯并调暗调光玻璃。，为您营造一个稍暗的环境。,"关闭氛围灯,前排调光玻璃调暗,后排调光玻璃调暗",,
将空调温度调低,好的。 为您将空调的温度降低2度并关闭座椅加热器,"设置主驾空调温度,设置副驾空调温度,关闭主驾座椅加热模式,关闭副驾座椅加热模式",,
外面很吵,您是想保持安静吗。 将为您关上所有窗户，打开空调，播放轻柔的古典音乐。,关闭全部车窗，打开空调，播放舒缓音乐,,
有没有危险区域？,您是担心危险区域吗？ 将为您关上车窗并打开危险区域警告系统，以便您可以安全驾驶。,关闭全部车窗，启动同步模式,,
进入隧道前打开灯,打开前灯，关上车窗，并将空调切换到空气内循环模式。 在开出隧道时会恢复到原来的设置。,"打开位置灯,关闭全部车窗,设置空气循环模式为内循环",,
进隧道前开灯,好的。打开前灯，关上车窗，并将空调切换到室内空气模式。 在开出隧道时会恢复到原来的设置。,打开位置灯，关闭全部车窗，设置空气循环模式为内循环,,
进隧道了,为您打开前灯，关上车窗，将空调切换到室内空气模式。 在开出隧道后会恢复到原来的设置。,打开位置灯，关闭全部车窗，设置空气循环模式为内循环,,
有雾看不见,好的。为您打开雾灯和调整自动驾驶的车速。 为了安全请小心驾驶。,"打开雾灯,启动同步模式",,
雾很浓,由于雾很浓，将为您打开雾灯并调整自动驾驶的速度。为了安全请小心驾驶。,"打开位置灯,调整自动驾驶速度",,
屏蔽外部声音,好的。将为您关上所有窗户，打开空调，播放轻柔的古典音乐。,关闭全部车窗，打开空调，播放舒缓音乐,,
想凉快一点,好的！ 将为您打开空调制冷模式，并将风速调节到3 档。 此外，环境光也设置为蓝色，为您营造凉爽的氛围感。,"打开空调,设置空调制热模式,设置空调风速3档,设置氛围灯颜色为蓝色",,
我妈妈上车了,为了给妈妈提供舒适的空间，我将把空调设置为冷风并将风速调节到 3 级。 此外，还会播放轻松的音乐并启动副驾座椅上的按摩功能。,"设置空调制热模式,关闭,设置空调风速3档,播放舒缓音乐,打开副驾座椅按摩",,
我买东西买累了,您幸苦了。 来放松一下把。 我将为您打开冷空调，并将风速设置为 3 级。 还会为您播放轻松的音乐并打开驾驶员座椅上的按摩功能。,"打开冷空调,设置空调风速3档,播放舒缓音乐,打开主驾座椅按摩",,
购物累了,您幸苦了。 来放松一下把。 我将为您打开冷空调，并将风速设置为 3 级。 还会为您播放轻松的音乐并打开驾驶员座椅上的按摩功能。,"打开冷空调,设置空调风速3档,播放舒缓音乐,打开主驾座椅按摩",,
